Road Roller,5,Heavy Machinery,"?15,00,000 per unit"
Asphalt Paver,3,Heavy Machinery,"?25,00,000 per unit"
Bitumen Sprayer,4,Medium Machinery,"?10,00,000 per unit"
Motor Grader,2,Heavy Machinery,"?35,00,000 per unit"
Excavator,3,Heavy Machinery,"?50,00,000 per unit"
JCB Backhoe Loader,4,Medium Machinery,"?30,00,000 per unit"
Cold Milling Machine,2,Heavy Machinery,"?40,00,000 per unit"
Concrete Mixer Machine,6,Small Machinery,"?1,50,000 per unit"
Vibratory Compactor,5,Medium Machinery,"?12,00,000 per unit"
Dump Truck,8,Heavy Vehicle,"?20,00,000 per unit"
Water Tanker,4,Heavy Vehicle,"?8,00,000 per unit"
Hydraulic Breaker,3,Attachment,"?5,00,000 per unit"
Plate Compactor,6,Small Machinery,"?75,000 per unit"
Road Marking Machine,2,Specialized Machinery,"?4,00,000 per unit"
Soil Stabilizer,2,Heavy Machinery,"?45,00,000 per unit"
Pneumatic Tyre Roller,3,Heavy Machinery,"?22,00,000 per unit"
Jackhammer,10,Handheld Machinery,"?50,000 per unit"
Concrete Cutter,4,Small Machinery,"?1,00,000 per unit"
Skid Steer Loader,2,Compact Machinery,"?12,00,000 per unit"
Hot Mix Plant,1,Industrial Machinery,"?50,00,000 per unit"
